row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ112559,3,0x0000c000,0x0e0ebbb0,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112560,3,0x0000c000,0x0e0ebcc7,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112561,3,0x0000c000,0x0e0ec11d,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112562,3,0x0000c000,0x0e0ec22e,8796093022208,48,"8796093022208/2^48","134217728"
FQ112563,3,0x0000c000,0x0e0ec33f,8796093022208,48,"8796093022208/2^48","134217728"
FQ112564,3,0x0000c000,0x0e0ec559,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112565,3,0x0000c000,0x0e0ec995,8796093022208,48,"8796093022208/2^48","134217728"
FQ112566,3,0x0000c000,0x0e0ecaa6,8796093022208,48,"8796093022208/2^48","134217728"
FQ112567,3,0x0000c000,0x0e0ecbb7,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112568,3,0x0000c000,0x0e0ecdd1,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112569,3,0x0000c000,0x0e0ed33e,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112570,3,0x0000c000,0x0e0ed994,8796093022208,48,"8796093022208/2^48","134217728"
FQ112571,3,0x0000c000,0x0e0edcc1,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112572,3,0x0000c000,0x0e0eddd0,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112573,3,0x0000c000,0x0e0edee3,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112574,3,0x0000c000,0x0e0ee11f,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112575,3,0x0000c000,0x0e0ee55b,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112576,3,0x0000c000,0x0e0ee997,8796093022208,48,"8796093022208/2^48","134217728"
FQ112577,3,0x0000c000,0x0e0eedd3,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112578,3,0x0000c000,0x0f0f1110,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112579,3,0x0000c000,0x0f0f1554,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112580,3,0x0000c000,0x0f0f5114,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112581,3,0x0000c000,0x0f0f5550,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112582,3,0x0000c000,0x0f0f9990,8796093022208,48,"8796093022208/2^48","134217728"
FQ112583,3,0x0000c000,0x0f0f9dd4,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112584,3,0x0000c000,0x0f0fd994,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ112585,3,0x0000c000,0x0f0fddd0,8796093022208,48,"8796093022208/2^48","134217728"
