path,round,active_nibbles,generation_command,beam,trans,branch,certified_only,row_count,sha256,used_in_final_submit
experiments/r2_active2_batch_4600_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,573,fdacc6c9a118686d0385a3741e30b4844e4cc906c1ca8b39c41651f1f80111fd,1
experiments/r2_active2_batch_4700_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,384,269fd2b6c09a73ff397cbc674d9dcc6bdce7a19d8973614997de2a3c3a879306,1
experiments/r2_active2_batch_4800_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,419,d4f3094bb494f844ecdf3b5ee0ffb2b2dffb9625f9e80ce02d330f310ed7b37d,1
experiments/r2_active2_batch_4900_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,613,e1b7cce5b14295c7caab7ca9f691b951f99b372a68ac24f124ae02318f283f56,1
experiments/r2_active2_batch_5000_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,2623,3e9a71655d569ab0a36795180ff95d8fcc4c1b8f4a86f82457ab289bf94bdbde,1
experiments/r2_active2_batch_500_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,1751,374cd1b2c3384bc0ed07ff0d871f504ccd20a49b640db8b319ff5ff1cc6ab024,1
experiments/r2_active2_batch_5100_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,2232,769e6eb8b73392fe841ae611c2f53c42a752bea2f1deaa0c665bad6e0d8e2f11,1
experiments/r2_active2_batch_5200_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,1923,afee251784131faab207c74fa0c639843a1adc3fe31de38ef6b162a925f7f897,1
experiments/r2_active2_batch_5300_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,1828,b16d0dc066f7f8c566971c33f1b99f9da0d00f89e8c885df2890e124d6d9f658,1
experiments/r2_active2_batch_5400_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,816,f9c1b3d51f4887b5eeee897dd42edaaf0a9bdfd93cb3d29de6686f99cd754ae4,1
experiments/r2_active2_batch_5500_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,1171,9df3dd6e0c7c1d2341db1d007ab5d21e299db0fe8a8a28525b207574115ec57c,1
experiments/r2_active2_batch_5600_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,718,c765a43505423be12ddd652b1fd869bfd6a0675fa25a3dec1a0399a55da5481d,1
experiments/r2_active2_batch_5700_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,725,56d8dd8b45b6f6cec245fce38848f248c92a0d743a0a8bea0433c822999ebaf0,1
experiments/r2_active2_batch_5800_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,272,5994d5d4c3301006df958b452411f2212e0671a855304e86e17fc3f4da2ff509,1
experiments/r2_active2_batch_5900_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,1160,afcac1a74ab024736269bb2e3cc8fb71d2975d047bf518c9ead857409ef5d6ac,1
experiments/r2_active2_batch_6000_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,1963,0fca238a2f420490cc32941fb5ca86a298778b80727ed5c239dc9dccc7eab2a1,1
experiments/r2_active2_batch_6100_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,1650,69ea72a8c40df2de39e83d0adc3d5fec8081965d207781c8b6fc300b6de3ec60,1
experiments/r2_active2_batch_6200_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,690,33001a19532d2ea5439372e2052c30f2b9d00a84df28f2ec1b3fc1c8932656a5,1
experiments/r2_active2_batch_6300_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,1345,034eeee1b3c65209b1445e95efe113ad28aeff01b859caea10d5589d907deebc,1
experiments/r2_active2_batch_700_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,2476,7cf2adf0efd78a0207504e6db98261cb004fd4e3171ff6524ec6c43cf5233028,1
experiments/r2_active2_batch_800_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,1348,67c7161632ae41ff809e9c76026c0f123deb96a29422adf4004ca4bb28061262,1
experiments/r2_active2_batch_900_0100.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,921,0082025037b8279f7a499472216f1d9f765c818576c2e7606161cce52053cf85,1
experiments/r2_active2_edge120.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,980,bb913c97cdc5610c0cc7ad08684f057beb4a0b7ad4cc8754aeaa538b95a9ee96,1
experiments/r2_active2_edge6400.csv,2,2,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,171,260183b24879ecb95d92a9983928238e291c0526f58a14a87b35ceb661b9473f,1
experiments/r2_active3_a3_15020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,18,5787e10b21b34a78b1363702701ddd6702f24931432e4f57e201db30baa6026d,1
experiments/r2_active3_a3_50020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,76,82a18b08940b902505e0340b459fd691a756997d64d5afeddbcd70ead1555d0e,1
experiments/r2_active3_a3_100020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,12,3466d689244826b252b552e6ae63b832caf87d112afb56406afd5d1d335eddf3,1
experiments/r2_active3_a3_190020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,73,5da8a3f8af8e71cacd0baef772b5e9bed2e4595a1a053cc1928865fc0cf1c40a,1
experiments/r2_active3_near_100010_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,96,303d72a6379fe0fb77e7a88e6ef30f1b06f22d053874e383faaa01cb689fda1f,1
experiments/r2_active3_near_100030_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,106,37f66ac00d79ef5a77538939a99efb3eeb1219cafd0549d8e3caa842aace965a,1
experiments/r2_active3_near_100050_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,109,51f3989f9827f2e8928707ea854263459ac92cff56ce12485e18a01648f2d5ea,1
experiments/r2_active3_near_100070_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,194,c9728b2ed2ef53c3f69e6de3991fa818b4f301d139d7b2f6c7fa1f99c3e0f8e8,1
experiments/r2_active3_near_100090_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,249,4b2321b6446af86a6b592a8da67f5092702c04dc9012bd5fb583bbf8b04904df,1
experiments/r2_active3_near_100110_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,80,d788223119e09afbcb16dd5d4dcc225d24d717bddb903dee92ed0dc3432bcd65,1
experiments/r2_active3_near_100130_0020.csv,2,3,candidate_miner_approx（参数见本行 beam/trans/branch；实验背景见 docs/EXPERIMENTS.md）,1000000,100000,16,1,66,953a650579d9f81d022abfce9c7ad35519b13f29bfe552832f8b0d3f64eaf885,1
