row_id,r,u,v,numerator,denominator_exp2,exact_fraction,way1_normalized_numerator
FQ138229,3,0xf0000000,0xd11c0101,-15393162788864,48,"-15393162788864/2^48","-234881024"
FQ138230,3,0xf0000000,0xd11c0505,6597069766656,48,"6597069766656/2^48","100663296"
FQ138231,3,0xf0000000,0xd11c0909,6597069766656,48,"6597069766656/2^48","100663296"
FQ138232,3,0xf0000000,0xd11c0d0d,6597069766656,48,"6597069766656/2^48","100663296"
FQ138233,3,0xf0000000,0xd4490404,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138234,3,0xf0000000,0xd5580101,6597069766656,48,"6597069766656/2^48","100663296"
FQ138235,3,0xf0000000,0xd5580505,-15393162788864,48,"-15393162788864/2^48","-234881024"
FQ138236,3,0xf0000000,0xd5580909,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ138237,3,0xf0000000,0xd5580d0d,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ138238,3,0xf0000000,0xd5580e0e,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ138239,3,0xf0000000,0xd66b0606,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138240,3,0xf0000000,0xd66b0d0d,6597069766656,48,"6597069766656/2^48","100663296"
FQ138241,3,0xf0000000,0xd77a0707,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ138242,3,0xf0000000,0xd8850808,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138243,3,0xf0000000,0xd9940101,6597069766656,48,"6597069766656/2^48","100663296"
FQ138244,3,0xf0000000,0xd9940505,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ138245,3,0xf0000000,0xd9940909,-15393162788864,48,"-15393162788864/2^48","-234881024"
FQ138246,3,0xf0000000,0xd9940d0d,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ138247,3,0xf0000000,0xdbb60b0b,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ138248,3,0xf0000000,0xdbb60c0c,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138249,3,0xf0000000,0xdcc10b0b,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138250,3,0xf0000000,0xdcc10c0c,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138251,3,0xf0000000,0xddd00101,6597069766656,48,"6597069766656/2^48","100663296"
FQ138252,3,0xf0000000,0xddd00505,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ138253,3,0xf0000000,0xddd00606,6597069766656,48,"6597069766656/2^48","100663296"
FQ138254,3,0xf0000000,0xddd00909,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ138255,3,0xf0000000,0xddd00d0d,-15393162788864,48,"-15393162788864/2^48","-234881024"
FQ138256,3,0xf0000000,0xdee30505,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ138257,3,0xf0000000,0xdee30e0e,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138258,3,0xf0000000,0xdff20f0f,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ138259,3,0xf0000000,0xe11f0101,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ138260,3,0xf0000000,0xe11f0505,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ138261,3,0xf0000000,0xe11f0606,8796093022208,48,"8796093022208/2^48","134217728"
FQ138262,3,0xf0000000,0xe11f0707,8796093022208,48,"8796093022208/2^48","134217728"
FQ138263,3,0xf0000000,0xe11f0909,6597069766656,48,"6597069766656/2^48","100663296"
FQ138264,3,0xf0000000,0xe11f0f0f,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138265,3,0xf0000000,0xe22c0a0a,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ138266,3,0xf0000000,0xe22c0c0c,8796093022208,48,"8796093022208/2^48","134217728"
FQ138267,3,0xf0000000,0xe33d0505,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ138268,3,0xf0000000,0xe33d0707,6597069766656,48,"6597069766656/2^48","100663296"
FQ138269,3,0xf0000000,0xe44a0404,8796093022208,48,"8796093022208/2^48","134217728"
FQ138270,3,0xf0000000,0xe44a0e0e,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138271,3,0xf0000000,0xe55b0101,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ138272,3,0xf0000000,0xe55b0303,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ138273,3,0xf0000000,0xe55b0505,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ138274,3,0xf0000000,0xe55b0606,8796093022208,48,"8796093022208/2^48","134217728"
FQ138275,3,0xf0000000,0xe55b0d0d,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ138276,3,0xf0000000,0xe55b0e0e,8796093022208,48,"8796093022208/2^48","134217728"
FQ138277,3,0xf0000000,0xe6680101,8796093022208,48,"8796093022208/2^48","134217728"
FQ138278,3,0xf0000000,0xe6680505,8796093022208,48,"8796093022208/2^48","134217728"
FQ138279,3,0xf0000000,0xe7790101,8796093022208,48,"8796093022208/2^48","134217728"
FQ138280,3,0xf0000000,0xe7790303,6597069766656,48,"6597069766656/2^48","100663296"
FQ138281,3,0xf0000000,0xe8860808,8796093022208,48,"8796093022208/2^48","134217728"
FQ138282,3,0xf0000000,0xe8860c0c,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138283,3,0xf0000000,0xe9970101,6597069766656,48,"6597069766656/2^48","100663296"
FQ138284,3,0xf0000000,0xe9970b0b,6597069766656,48,"6597069766656/2^48","100663296"
FQ138285,3,0xf0000000,0xeaa40202,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ138286,3,0xf0000000,0xeaa40b0b,8796093022208,48,"8796093022208/2^48","134217728"
FQ138287,3,0xf0000000,0xeaa40e0e,6597069766656,48,"6597069766656/2^48","100663296"
FQ138288,3,0xf0000000,0xebb50909,6597069766656,48,"6597069766656/2^48","100663296"
FQ138289,3,0xf0000000,0xebb50a0a,8796093022208,48,"8796093022208/2^48","134217728"
FQ138290,3,0xf0000000,0xebb50b0b,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138291,3,0xf0000000,0xebb50c0c,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138292,3,0xf0000000,0xebb50e0e,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ138293,3,0xf0000000,0xecc20202,8796093022208,48,"8796093022208/2^48","134217728"
FQ138294,3,0xf0000000,0xecc20808,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138295,3,0xf0000000,0xecc20b0b,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138296,3,0xf0000000,0xecc20c0c,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138297,3,0xf0000000,0xedd30505,-6597069766656,48,"-6597069766656/2^48","-100663296"
FQ138298,3,0xf0000000,0xedd30e0e,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138299,3,0xf0000000,0xeee00404,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138300,3,0xf0000000,0xeee00505,8796093022208,48,"8796093022208/2^48","134217728"
FQ138301,3,0xf0000000,0xeee00a0a,6597069766656,48,"6597069766656/2^48","100663296"
FQ138302,3,0xf0000000,0xeee00b0b,-10995116277760,48,"-10995116277760/2^48","-167772160"
FQ138303,3,0xf0000000,0xeee00d0d,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138304,3,0xf0000000,0xeee00e0e,6597069766656,48,"6597069766656/2^48","100663296"
FQ138305,3,0xf0000000,0xeee00f0f,6597069766656,48,"6597069766656/2^48","100663296"
FQ138306,3,0xf0000000,0xeff10101,-8796093022208,48,"-8796093022208/2^48","-134217728"
FQ138307,3,0xf0000000,0xeff10e0e,6597069766656,48,"6597069766656/2^48","100663296"
FQ138308,3,0xf0000000,0xf11e0101,8796093022208,48,"8796093022208/2^48","134217728"
