n_nibbles,rounds,u,v,exact,dp,abs_err,rel_err,match,sign_flip_suspect,transpose_like_suspect
4,1,0x44cb,0x5209,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xe42e,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xda73,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x70f2,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xe6d5,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x7246,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x0fb7,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xca30,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xa47a,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xda43,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x1e19,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x98e2,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x4059,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x6c9c,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x184a,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x9cde,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x2436,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x2723,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x9ee7,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x9883,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x5100,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xd514,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x8135,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x42c2,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x0457,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x1369,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x6f68,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xebf4,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x57d1,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x1329,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xc185,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x669b,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xb1a0,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x32b3,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x6959,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xddab,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x6363,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xfc15,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x3577,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xc7b6,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x9796,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xffe5,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x08ce,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xa693,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xcdfd,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x900d,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x0943,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x505d,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x66d6,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xa7cd,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x4531,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xad9d,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xdbc5,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x6d12,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x8877,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x315c,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xc22a,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xb00d,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xf810,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x7822,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x2171,-0.03125,-0.03125,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x14af,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x2b5b,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x441a,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x56e2,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x5546,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x6d0a,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x8938,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xaa1a,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x82b5,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xbc78,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xad7d,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xae39,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x3a52,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x951a,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x786a,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xfa43,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x454c,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x3563,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xa436,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x1409,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xd02d,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x2579,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xc2ad,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x4b6e,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x4002,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xae8a,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x3ab8,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xc18e,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x273e,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x728a,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x29da,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x8890,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xbad3,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x9752,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x3a87,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0xea60,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x8dea,0,0,0.000000e+00,0.000000e+00,1,0,0
4,1,0x44cb,0x3728,0,0,0.000000e+00,0.000000e+00,1,0,0
