r,u
2,0x00033000
2,0x00034000
2,0x00035000
2,0x00036000
2,0x00037000
2,0x00038000
2,0x00039000
2,0x0003a000
2,0x0003b000
2,0x0003c000
2,0x0003d000
2,0x0003e000
2,0x0003f000
2,0x00040000
2,0x00040010
2,0x00040020
2,0x00040030
2,0x00040040
2,0x00040050
2,0x00040060
2,0x00040070
2,0x00040080
2,0x00040090
2,0x000400a0
2,0x000400c0
2,0x000400d0
2,0x000400e0
2,0x00041000
2,0x00042000
2,0x00043000
2,0x00044000
2,0x00045000
2,0x00046000
2,0x00047000
2,0x00048000
2,0x00049000
2,0x0004a000
2,0x0004b000
2,0x0004c000
2,0x0004d000
2,0x0004e000
2,0x0004f000
2,0x00050000
2,0x00050010
2,0x00050040
2,0x00050050
2,0x00050060
2,0x00050070
2,0x00050080
2,0x00050090
2,0x000500a0
2,0x000500c0
2,0x000500d0
2,0x000500e0
2,0x00051000
2,0x00052000
2,0x00053000
2,0x00054000
2,0x00055000
2,0x00056000
2,0x00057000
2,0x00058000
2,0x00059000
2,0x0005a000
2,0x0005b000
2,0x0005c000
2,0x0005d000
2,0x0005e000
2,0x0005f000
2,0x00060000
2,0x00060010
2,0x00060020
2,0x00060030
2,0x00060040
2,0x00060050
2,0x00060060
2,0x00060070
2,0x00060080
2,0x000600a0
2,0x000600b0
2,0x000600c0
2,0x000600e0
2,0x000600f0
2,0x00061000
2,0x00062000
2,0x00063000
2,0x00064000
2,0x00065000
2,0x00066000
2,0x00067000
2,0x00068000
2,0x00069000
2,0x0006a000
2,0x0006b000
2,0x0006c000
2,0x0006d000
2,0x0006e000
2,0x0006f000
2,0x00070000
2,0x00070040
2,0x00070050
2,0x00070060
2,0x00070070
2,0x00070080
2,0x00070090
2,0x000700a0
2,0x000700b0
2,0x000700c0
2,0x000700d0
2,0x000700e0
2,0x00071000
2,0x00072000
2,0x00073000
2,0x00074000
2,0x00075000
2,0x00076000
2,0x00077000
2,0x00078000
2,0x00079000
2,0x0007a000
2,0x0007b000
2,0x0007c000
2,0x0007d000
2,0x0007e000
2,0x0007f000
2,0x00080000
2,0x00080010
2,0x00080030
2,0x00080040
2,0x00080050
2,0x00080060
2,0x00080070
2,0x00080080
2,0x00080090
2,0x000800a0
2,0x000800b0
2,0x000800c0
2,0x000800e0
2,0x00081000
2,0x00082000
2,0x00083000
2,0x00084000
2,0x00085000
2,0x00086000
2,0x00087000
2,0x00088000
2,0x00089000
2,0x0008a000
2,0x0008b000
2,0x0008c000
2,0x0008d000
2,0x0008e000
2,0x0008f000
2,0x00090000
2,0x00090010
2,0x00090020
2,0x00090030
2,0x00090040
2,0x00090050
2,0x00090070
2,0x00090080
2,0x00090090
2,0x000900a0
2,0x000900b0
2,0x000900c0
2,0x000900d0
2,0x000900e0
2,0x000900f0
2,0x00091000
2,0x00092000
2,0x00093000
2,0x00094000
2,0x00095000
2,0x00096000
2,0x00097000
2,0x00098000
2,0x00099000
2,0x0009a000
2,0x0009b000
2,0x0009c000
2,0x0009d000
2,0x0009e000
2,0x0009f000
2,0x000a0000
2,0x000a0010
2,0x000a0030
2,0x000a0040
2,0x000a0050
2,0x000a0060
2,0x000a0070
2,0x000a0080
2,0x000a0090
2,0x000a00a0
2,0x000a00b0
2,0x000a00c0
2,0x000a00e0
2,0x000a1000
2,0x000a2000
2,0x000a3000
2,0x000a4000
2,0x000a5000
2,0x000a6000
2,0x000a7000
2,0x000a8000
2,0x000a9000
2,0x000aa000
2,0x000ab000
2,0x000ac000
2,0x000ad000
2,0x000ae000
2,0x000af000
2,0x000b0000
2,0x000b0010
2,0x000b0020
2,0x000b0030
2,0x000b0060
2,0x000b0070
2,0x000b0080
2,0x000b0090
2,0x000b00a0
2,0x000b00b0
2,0x000b00c0
2,0x000b00d0
2,0x000b00e0
2,0x000b00f0
2,0x000b1000
2,0x000b2000
2,0x000b3000
2,0x000b4000
2,0x000b5000
2,0x000b6000
2,0x000b7000
2,0x000b8000
2,0x000b9000
2,0x000ba000
2,0x000bb000
2,0x000bc000
2,0x000bd000
2,0x000be000
2,0x000bf000
2,0x000c0000
2,0x000c0010
2,0x000c0030
2,0x000c0040
2,0x000c0050
2,0x000c0060
2,0x000c0070
2,0x000c0080
2,0x000c0090
2,0x000c00a0
2,0x000c00b0
2,0x000c00c0
2,0x000c00d0
2,0x000c00e0
2,0x000c00f0
2,0x000c1000
2,0x000c2000
2,0x000c3000
2,0x000c4000
2,0x000c5000
2,0x000c6000
2,0x000c7000
2,0x000c8000
2,0x000c9000
2,0x000ca000
2,0x000cb000
2,0x000cc000
2,0x000cd000
2,0x000ce000
2,0x000cf000
2,0x000d0000
2,0x000d0010
2,0x000d0020
2,0x000d0030
2,0x000d0040
2,0x000d0050
2,0x000d0070
2,0x000d0090
2,0x000d00b0
2,0x000d00c0
2,0x000d00d0
2,0x000d00e0
2,0x000d00f0
2,0x000d1000
2,0x000d2000
2,0x000d3000
2,0x000d4000
2,0x000d5000
2,0x000d6000
2,0x000d7000
2,0x000d8000
2,0x000d9000
2,0x000da000
2,0x000db000
2,0x000dc000
2,0x000dd000
2,0x000de000
2,0x000df000
2,0x000e0000
2,0x000e0010
2,0x000e0030
2,0x000e0040
2,0x000e0050
2,0x000e0060
2,0x000e0070
2,0x000e0080
2,0x000e0090
2,0x000e00a0
2,0x000e00b0
2,0x000e00c0
2,0x000e00d0
2,0x000e00e0
2,0x000e00f0
2,0x000e1000
2,0x000e2000
2,0x000e3000
2,0x000e4000
2,0x000e5000
2,0x000e6000
2,0x000e7000
2,0x000e8000
2,0x000e9000
2,0x000ea000
2,0x000eb000
2,0x000ec000
2,0x000ed000
2,0x000ee000
2,0x000ef000
2,0x000f0000
2,0x000f0020
2,0x000f0060
2,0x000f0090
2,0x000f00b0
2,0x000f00c0
2,0x000f00d0
2,0x000f00e0
2,0x000f00f0
2,0x000f1000
2,0x000f2000
2,0x000f3000
2,0x000f4000
2,0x000f5000
2,0x000f6000
2,0x000f7000
2,0x000f8000
2,0x000f9000
2,0x000fa000
2,0x000fb000
2,0x000fc000
2,0x000fd000
